Cache Initialized. size: 8GB
hit ratio:0.65126,time:59498
hit ratio:0.43753,time:59972
hit ratio:0.300127,time:60925
hit ratio:0.227577,time:61589
hit ratio:0.22013,time:62935
hit ratio:0.184893,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.204934,time:101305
hit ratio:0.232025,time:101998
hit ratio:0.211537,time:102765
hit ratio:0.192448,time:103568
hit ratio:0.198862,time:104468
hit ratio:0.184577,time:105524
hit ratio:0.176572,time:115391
hit ratio:0.214711,time:174985
hit ratio:0.214602,time:175523
hit ratio:0.206057,time:176501
hit ratio:0.196111,time:177136
hit ratio:0.200785,time:178532
hit ratio:0.191124,time:179412
hit ratio:0.198134,time:221587
hit ratio:0.223495,time:288244
hit ratio:0.228896,time:288846
hit ratio:0.228614,time:289777
hit ratio:0.226752,time:290602
hit ratio:0.227589,time:291982
hit ratio:0.221109,time:292868
hit ratio:0.223481,time:326023
hit ratio:0.237605,time:363814
hit ratio:0.236811,time:364488
hit ratio:0.238821,time:365614
hit ratio:0.2335,time:366195
hit ratio:0.236631,time:367692
hit ratio:0.2308,time:368654
hit ratio:0.237093,time:419645
hit ratio:0.248134,time:448810
hit ratio:0.247476,time:449510
hit ratio:0.248096,time:450612
hit ratio:0.244744,time:451330
hit ratio:0.244061,time:452569
hit ratio:0.238556,time:453361
hit ratio:0.245703,time:515771
hit ratio:0.254533,time:536508
hit ratio:0.251882,time:537154
hit ratio:0.25265,time:538203
hit ratio:0.252553,time:539027
hit ratio:0.250381,time:540529
hit ratio:0.245634,time:541487
EOF
hit ratio:0.252629,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
